Year,Baseline_Temperature_C,Counterfactual_Temperature_C,Temperature_Difference_C,Baseline_CO2_ppm,Counterfactual_CO2_ppm,CO2_Difference_ppm,Baseline_Emissions_MtCO2,Counterfactual_Emissions_MtCO2,Emissions_Difference_MtCO2
1749.5,0.0,0.0,0.0,278.3,278.3,0.0,0.3069702264049322,0.3069702264049322,0.0
1750.5,0.008821108655945011,0.008821108655945011,0.0,278.3636751726815,278.3636751726815,0.0,0.3124430617486158,0.3124430617486158,0.0
1751.5,0.028771694483280662,0.028771694483280662,0.0,278.41616589455094,278.41616589455094,0.0,0.3180202706588476,0.3180202706588476,0.0
1752.5,0.05627072257149471,0.05627072257149471,0.0,278.4649828819051,278.4649828819051,0.0,0.3236963143716341,0.3236963143716341,0.0
1753.5,0.08726142008150464,0.08726142008150464,0.0,278.51183499793405,278.51183499793405,0.0,0.32948047009968207,0.32948047009968207,0.0
1754.5,0.1190716222687036,0.1190716222687036,0.0,278.55737187424074,278.55737187424074,0.0,0.3353709633311357,0.3353709633311357,0.0
1755.5,0.15302308711540746,0.15302308711540746,0.0,278.60198838875027,278.60198838875027,0.0,0.34201645857336443,0.34201645857336443,0.0
1756.5,0.18892044297170504,0.18892044297170504,0.0,278.646072713018,278.646072713018,0.0,0.34812553171335675,0.34812553171335675,0.0
1757.5,0.22439965585040916,0.22439965585040916,0.0,278.68979753062393,278.68979753062393,0.0,0.35434691990131106,0.35434691990131106,0.0
1758.5,0.26049805767738415,0.26049805767738415,0.0,278.7333533444891,278.7333533444891,0.0,0.3606826894106217,0.3606826894106217,0.0
1759.5,0.297061464140125,0.297061464140125,0.0,278.7769079640577,278.7769079640577,0.0,0.3671312490527128,0.3671312490527128,0.0
1760.5,0.33300652473340786,0.33300652473340786,0.0,278.82059572588946,278.82059572588946,0.0,0.3746629757548951,0.3746629757548951,0.0
1761.5,0.3697222900279112,0.3697222900279112,0.0,278.86461880476526,278.86461880476526,0.0,0.3813546898729654,0.3813546898729654,0.0
1762.5,0.40737847169477903,0.40737847169477903,0.0,278.9089584417295,278.9089584417295,0.0,0.38816943759871086,0.38816943759871086,0.0
1763.5,0.4453089495009349,0.4453089495009349,0.0,278.9537139667805,278.9537139667805,0.0,0.395109482396153,0.395109482396153,0.0
1764.5,0.48517469474062885,0.48517469474062885,0.0,278.99895432938695,278.99895432938695,0.0,0.40217712937053174,0.40217712937053174,0.0
1765.5,0.5229435671553196,0.5229435671553196,0.0,279.04476381625034,279.04476381625034,0.0,0.41065336053974577,0.41065336053974577,0.0
1766.5,0.5606059964370611,0.5606059964370611,0.0,279.09129251865824,279.09129251865824,0.0,0.41798329759307923,0.41798329759307923,0.0
1767.5,0.5986167241034696,0.5986167241034696,0.0,279.13842843525146,279.13842843525146,0.0,0.42544800971789465,0.42544800971789465,0.0
1768.5,0.6345278677553355,0.6345278677553355,0.0,279.1862363376618,279.1862363376618,0.0,0.43304997638732984,0.43304997638732984,0.0
1769.5,0.6707578085906938,0.6707578085906938,0.0,279.23472506079827,279.23472506079827,0.0,0.4407917226896865,0.4407917226896865,0.0
1770.5,0.707740877400187,0.707740877400187,0.0,279.28394723105373,279.28394723105373,0.0,0.45002099390333017,0.45002099390333017,0.0
1771.5,0.7462350348557659,0.7462350348557659,0.0,279.33409838790675,279.33409838790675,0.0,0.45805008208073833,0.45805008208073833,0.0
1772.5,0.7856641537237452,0.7856641537237452,0.0,279.3850619693542,279.3850619693542,0.0,0.46622680731631433,0.46622680731631433,0.0
1773.5,0.8243064054032366,0.8243064054032366,0.0,279.4368934929412,279.4368934929412,0.0,0.47455388570670604,0.47455388570670604,0.0
1774.5,0.8600567614686849,0.8600567614686849,0.0,279.48960701859863,279.48960701859863,0.0,0.4830340833169166,0.4830340833169166,0.0
1775.5,0.8960817607398011,0.8960817607398011,0.0,279.543183309909,279.543183309909,0.0,0.4930892796720026,0.4930892796720026,0.0
1776.5,0.9331937504927976,0.9331937504927976,0.0,279.5978288775612,279.5978288775612,0.0,0.5018842184035635,0.5018842184035635,0.0
1777.5,0.9696972212376254,0.9696972212376254,0.0,279.6534146928489,279.6534146928489,0.0,0.510840883637695,0.510840883637695,0.0
1778.5,1.005142830491864,1.005142830491864,0.0,279.70997010812886,279.70997010812886,0.0,0.5199622506762416,0.5199622506762416,0.0
1779.5,1.041014995168746,1.041014995168746,0.0,279.7675106885646,279.7675106885646,0.0,0.5292550450334811,0.5292550450334811,0.0
1780.5,1.0758058270282356,1.0758058270282356,0.0,279.8260834484481,279.8260834484481,0.0,0.5405146818265687,0.5405146818265687,0.0
1781.5,1.1109396514443977,1.1109396514443977,0.0,279.8858950131683,279.8858950131683,0.0,0.550148582254376,0.550148582254376,0.0
1782.5,1.1464839864604994,1.1464839864604994,0.0,279.9467562138149,279.9467562138149,0.0,0.55996333870227,0.55996333870227,0.0
1783.5,1.1821336483576719,1.1821336483576719,0.0,280.0087264019089,280.0087264019089,0.0,0.5699548194631179,0.5699548194631179,0.0
1784.5,1.2190023093738773,1.2190023093738773,0.0,280.0718420832118,280.0718420832118,0.0,0.5801377107736195,0.5801377107736195,0.0
1785.5,1.25389827302543,1.25389827302543,0.0,280.1361632655687,280.1361632655687,0.0,0.5927986355177579,0.5927986355177579,0.0
1786.5,1.2884548619383935,1.2884548619383935,0.0,280.20192395527073,280.20192395527073,0.0,0.603355231724653,0.603355231724653,0.0
1787.5,1.322376346456477,1.322376346456477,0.0,280.26885898644457,280.26885898644457,0.0,0.6141021999594296,0.6141021999594296,0.0
1788.5,1.353933320103583,1.353933320103583,0.0,280.33701395397907,280.33701395397907,0.0,0.6250505014560961,0.6250505014560961,0.0
1789.5,1.3858139316182432,1.3858139316182432,0.0,280.4063784877023,280.4063784877023,0.0,0.63620007670524,0.63620007670524,0.0
1790.5,1.418194670047245,1.418194670047245,0.0,280.4770143821141,280.4770143821141,0.0,0.6498088914920733,0.6498088914920733,0.0
1791.5,1.4517454007221016,1.4517454007221016,0.0,280.549226644067,280.549226644067,0.0,0.6620189674882638,0.6620189674882638,0.0
1792.5,1.4859156201558075,1.4859156201558075,0.0,280.62285766332957,280.62285766332957,0.0,0.6738100360722689,0.6738100360722689,0.0
1793.5,1.519224816648881,1.519224816648881,0.0,280.6978903167362,280.6978903167362,0.0,0.6857482222131754,0.6857482222131754,0.0
1794.5,1.5494856035699602,1.5494856035699602,0.0,280.774335815139,280.774335815139,0.0,0.6979661661272785,0.6979661661272785,0.0
1795.5,1.5797552023791732,1.5797552023791732,0.0,280.8521626434208,280.8521626434208,0.0,0.7114967717684133,0.7114967717684133,0.0
1796.5,1.6109408252154729,1.6109408252154729,0.0,280.93155428150163,280.93155428150163,0.0,0.7253138965904856,0.7253138965904856,0.0
1797.5,1.6413685678956735,1.6413685678956735,0.0,281.0125704151633,281.0125704151633,0.0,0.7392238455766408,0.7392238455766408,0.0
1798.5,1.6706392679515882,1.6706392679515882,0.0,281.0951981289746,281.0951981289746,0.0,0.7537167439296475,0.7537167439296475,0.0
1799.5,1.6995519871590221,1.6995519871590221,0.0,281.17948209864613,281.17948209864613,0.0,0.7688829426973586,0.7688829426973586,0.0
1800.5,1.7276056004295544,1.7276056004295544,0.0,281.26550109725366,281.26550109725366,0.0,0.7822756362962657,0.7822756362962657,0.0
1801.5,1.7561094011855387,1.7561094011855387,0.0,281.3530332777259,281.3530332777259,0.0,0.8046596181245348,0.8046596181245348,0.0
1802.5,1.7844114382284595,1.7844114382284595,0.0,281.44316316572673,281.44316316572673,0.0,0.8138236811860189,0.8138236811860189,0.0
1803.5,1.8130598306010839,1.8130598306010839,0.0,281.5342527083422,281.5342527083422,0.0,0.8311424084751923,0.8311424084751923,0.0
1804.5,1.8423812788765086,1.8423812788765086,0.0,281.6274222030796,281.6274222030796,0.0,0.8450038809476331,0.8450038809476331,0.0
1805.5,1.8697452541978352,1.8697452541978352,0.0,281.7222480081967,281.7222480081967,0.0,0.8615128148933023,0.8615128148933023,0.0
1806.5,1.8966147862724518,1.8966147862724518,0.0,281.8190073173796,281.8190073173796,0.0,0.8792076321957781,0.8792076321957781,0.0
1807.5,1.9229500168976634,1.9229500168976634,0.0,281.91781952187705,281.91781952187705,0.0,0.8921663403401754,0.8921663403401754,0.0
1808.5,1.9472173161769324,1.9472173161769324,0.0,282.0181196062354,282.0181196062354,0.0,0.9079515429872814,0.9079515429872814,0.0
1809.5,1.971662177969607,1.971662177969607,0.0,282.12024944636806,282.12024944636806,0.0,0.9262632139052227,0.9262632139052227,0.0
1810.5,1.9963996247260107,1.9963996247260107,0.0,282.22452993972456,282.22452993972456,0.0,0.9448086042706182,0.9448086042706182,0.0
1811.5,2.0220828604658925,2.0220828604658925,0.0,282.33097840951547,282.33097840951547,0.0,0.9628439812839488,0.9628439812839488,0.0
1812.5,2.0486228782748714,2.0486228782748714,0.0,282.43956762406657,282.43956762406657,0.0,0.9799841126249956,0.9799841126249956,0.0
1813.5,2.0742410197023027,2.0742410197023027,0.0,282.55023645497175,282.55023645497175,0.0,0.9981742518019483,0.9981742518019483,0.0
1814.5,2.0970013831458236,2.0970013831458236,0.0,282.663090860112,282.663090860112,0.0,1.0171793772405207,1.0171793772405207,0.0
1815.5,2.1198402509180463,2.1198402509180463,0.0,282.77812206806533,282.77812206806533,0.0,1.039798662027101,1.039798662027101,0.0
1816.5,2.1432321103573355,2.1432321103573355,0.0,282.895780020243,282.895780020243,0.0,1.0601787930758704,1.0601787930758704,0.0
1817.5,2.1664529662137486,2.1664529662137486,0.0,283.01579472867087,283.01579472867087,0.0,1.0790517621225084,1.0790517621225084,0.0
1818.5,2.188645432795318,2.188645432795318,0.0,283.1380093787463,283.1380093787463,0.0,1.0981981464648363,1.0981981464648363,0.0
1819.5,2.2108950289105715,2.2108950289105715,0.0,283.2624593192302,283.2624593192302,0.0,1.1182403624390895,1.1182403624390895,0.0
1820.5,2.2323588668341117,2.2323588668341117,0.0,283.38929201712386,283.38929201712386,0.0,1.1386719825176554,1.1386719825176554,0.0
1821.5,2.254110841068615,2.254110841068615,0.0,283.51853455549673,283.51853455549673,0.0,1.1607320959085101,1.1607320959085101,0.0
1822.5,2.276063476012348,2.276063476012348,0.0,283.6504118691925,283.6504118691925,0.0,1.1843814840460833,1.1843814840460833,0.0
1823.5,2.298703314058121,2.298703314058121,0.0,283.7851120249186,283.7851120249186,0.0,1.2067856002835957,1.2067856002835957,0.0
1824.5,2.3219665990199534,2.3219665990199534,0.0,283.9225056555938,283.9225056555938,0.0,1.230519021754082,1.230519021754082,0.0
1825.5,2.3436680337722655,2.3436680337722655,0.0,284.06279233756425,284.06279233756425,0.0,1.2525806844028076,1.2525806844028076,0.0
1826.5,2.3653170872527194,2.3653170872527194,0.0,284.20569190320543,284.20569190320543,0.0,1.27906131363416,1.27906131363416,0.0
1827.5,2.3866519393513084,2.3866519393513084,0.0,284.3517660537403,284.3517660537403,0.0,1.3020131850572296,1.3020131850572296,0.0
1828.5,2.4058399721390553,2.4058399721390553,0.0,284.50055755563676,284.50055755563676,0.0,1.324109077059254,1.324109077059254,0.0
1829.5,2.4253613454616296,2.4253613454616296,0.0,284.6519090694177,284.6519090694177,0.0,1.3701850045445592,1.3701850045445592,0.0
1830.5,2.4450451331321283,2.4450451331321283,0.0,284.8087056222347,284.8087056222347,0.0,1.3890446693206215,1.3890446693206215,0.0
1831.5,2.4662104404279175,2.4662104404279175,0.0,284.9674611512652,284.9674611512652,0.0,1.413098383676782,1.413098383676782,0.0
1832.5,2.4884392530428463,2.4884392530428463,0.0,285.12912384028095,285.12912384028095,0.0,1.4394801474099028,1.4394801474099028,0.0
1833.5,2.509959740583655,2.509959740583655,0.0,285.2940742523152,285.2940742523152,0.0,1.4660730687053927,1.4660730687053927,0.0
1834.5,2.5291984086031736,2.5291984086031736,0.0,285.4622874320363,285.4622874320363,0.0,1.4934718484568805,1.4934718484568805,0.0
1835.5,2.5489725599871864,2.5489725599871864,0.0,285.6337389663823,285.6337389663823,0.0,1.5337087527354694,1.5337087527354694,0.0
1836.5,2.5689184046161313,2.5689184046161313,0.0,285.80999918555,285.80999918555,0.0,1.5600987523088778,1.5600987523088778,0.0
1837.5,2.5888072561895186,2.5888072561895186,0.0,285.98929104997734,285.98929104997734,0.0,1.5905956053752388,1.5905956053752388,0.0
1838.5,2.6081579330653786,2.6081579330653786,0.0,286.1722207547729,286.1722207547729,0.0,1.6215606278848969,1.6215606278848969,0.0
1839.5,2.627697151840038,2.627697151840038,0.0,286.35882964881074,286.35882964881074,0.0,1.6574624378953349,1.6574624378953349,0.0
1840.5,2.647120744340628,2.647120744340628,0.0,286.5497332853514,286.5497332853514,0.0,1.6895715834472964,1.6895715834472964,0.0
1841.5,2.666478012998778,2.666478012998778,0.0,286.74443056465947,286.74443056465947,0.0,1.7257930759149782,1.7257930759149782,0.0
1842.5,2.686153397772445,2.686153397772445,0.0,286.94344440150684,286.94344440150684,0.0,1.75804229557756,1.75804229557756,0.0
1843.5,2.707085151510983,2.707085151510983,0.0,287.1463090127014,287.1463090127014,0.0,1.796642645613562,1.796642645613562,0.0
1844.5,2.728684659947609,2.728684659947609,0.0,287.3539146629668,287.3539146629668,0.0,1.8414662124136818,1.8414662124136818,0.0
1845.5,2.7484582903315045,2.7484582903315045,0.0,287.5669739020573,287.5669739020573,0.0,1.8738766309009416,1.8738766309009416,0.0
1846.5,2.768401941750363,2.768401941750363,0.0,287.78377175293804,287.78377175293804,0.0,1.917343629440368,1.917343629440368,0.0
1847.5,2.7878132253533323,2.7878132253533323,0.0,288.0057746394203,288.0057746394203,0.0,1.948146516725036,1.948146516725036,0.0
1848.5,2.8056423453586588,2.8056423453586588,0.0,288.23138798268366,288.23138798268366,0.0,1.987163155793652,1.987163155793652,0.0
1849.5,2.8241045406169354,2.8241045406169354,0.0,288.4616288253522,288.4616288253522,0.0,2.029711603882692,2.029711603882692,0.0
1850.5,2.8429878901498724,2.8429878901498724,0.0,288.6969816460069,288.6969816460069,0.0,2.0015890007951986,2.0015890007951986,0.0
1851.5,2.8637046800810175,2.8637046800810175,0.0,288.9217352824017,288.9217352824017,0.0,2.2145284124987237,2.2145284124987237,0.0
1852.5,2.8860812921564,2.8860812921564,0.0,289.193922131512,289.193922131512,0.0,2.2154635275273944,2.2154635275273944,0.0
1853.5,2.9080602611184845,2.9080602611184845,0.0,289.4577555722114,289.4577555722114,0.0,2.2449696277691276,2.2449696277691276,0.0
1854.5,2.9272657689381547,2.9272657689381547,0.0,289.7193063162089,289.7193063162089,0.0,2.2364807638859436,2.2364807638859436,0.0
1855.5,2.9471102240849683,2.9471102240849683,0.0,289.97446415674995,289.97446415674995,0.0,2.275331593641025,2.275331593641025,0.0
1856.5,2.96751428342856,2.96751428342856,0.0,290.23404083140497,290.23404083140497,0.0,2.297442413633076,2.297442413633076,0.0
1857.5,2.987310842345759,2.987310842345759,0.0,290.49546347349974,290.49546347349974,0.0,2.3187336158185667,2.3187336158185667,0.0
1858.5,3.0064069174829453,3.0064069174829453,0.0,290.7583591845624,290.7583591845624,0.0,2.3644381004113204,2.3644381004113204,0.0
1859.5,3.0248095417225827,3.0248095417225827,0.0,291.0269603849269,291.0269603849269,0.0,2.410148469169493,2.410148469169493,0.0
1860.5,3.0420525935494918,3.0420525935494918,0.0,291.29945169188306,291.29945169188306,0.0,2.4681252038235764,2.4681252038235764,0.0
1861.5,3.0591124577638853,3.0591124577638853,0.0,291.58002413194384,291.58002413194384,0.0,2.252982764124505,2.252982764124505,0.0
1862.5,3.075642650579733,3.075642650579733,0.0,291.804729378706,291.804729378706,0.0,2.274239106879483,2.274239106879483,0.0
1863.5,3.09195018033521,3.09195018033521,0.0,292.03487508433204,292.03487508433204,0.0,2.302029059321752,2.302029059321752,0.0
1864.5,3.1076501044615306,3.1076501044615306,0.0,292.2693875588387,292.2693875588387,0.0,2.327607561479852,2.327607561479852,0.0
1865.5,3.120581782595495,3.120581782595495,0.0,292.50697655206505,292.50697655206505,0.0,2.3420387685516055,2.3420387685516055,0.0
1866.5,3.1330969271803797,3.1330969271803797,0.0,292.74515015683113,292.74515015683113,0.0,2.3652479907832253,2.3652479907832253,0.0
1867.5,3.144452608202294,3.144452608202294,0.0,292.9840760805825,292.9840760805825,0.0,2.3709877781108,2.3709877781108,0.0
1868.5,3.1539732276851464,3.1539732276851464,0.0,293.2215038272402,293.2215038272402,0.0,2.3931121641481043,2.3931121641481043,0.0
1869.5,3.164035330553712,3.164035330553712,0.0,293.45934698700154,293.45934698700154,0.0,2.40148111546142,2.40148111546142,0.0
1870.5,3.1738339571173375,3.1738339571173375,0.0,293.69623345221083,293.69623345221083,0.0,2.5067171695871626,2.5067171695871626,0.0
1871.5,3.1850257679022196,3.1850257679022196,0.0,293.9530931842557,293.9530931842557,0.0,2.875067084856936,2.875067084856936,0.0
1872.5,3.1986748453245606,3.1986748453245606,0.0,294.2876901800785,294.2876901800785,0.0,2.9509538949475242,2.9509538949475242,0.0
1873.5,3.2132969822725865,3.2132969822725865,0.0,294.6247720351351,294.6247720351351,0.0,2.944278397155142,2.944278397155142,0.0
1874.5,3.23087588364736,3.23087588364736,0.0,294.95524610742814,294.95524610742814,0.0,3.0179667920920443,3.0179667920920443,0.0
1875.5,3.2541627256936083,3.2541627256936083,0.0,295.2918343850885,295.2918343850885,0.0,3.056069874261878,3.056069874261878,0.0
1876.5,3.281370150278561,3.281370150278561,0.0,295.63125828150356,295.63125828150356,0.0,3.094696113610791,3.094696113610791,0.0
1877.5,3.3117498421735316,3.3117498421735316,0.0,295.97413232857724,295.97413232857724,0.0,3.12343750211347,3.12343750211347,0.0
1878.5,3.3446242264820323,3.3446242264820323,0.0,296.32005208189634,296.32005208189634,0.0,3.194630320625308,3.194630320625308,0.0
1879.5,3.3772051767926894,3.3772051767926894,0.0,296.6746888828806,296.6746888828806,0.0,3.3133829160435857,3.3133829160435857,0.0
1880.5,3.408037098472298,3.408037098472298,0.0,297.04292488344834,297.04292488344834,0.0,3.473343160635712,3.473343160635712,0.0
1881.5,3.4374799455585103,3.4374799455585103,0.0,297.44252188020823,297.44252188020823,0.0,3.339511065043658,3.339511065043658,0.0
1882.5,3.4648281442267876,3.4648281442267876,0.0,297.797811919178,297.797811919178,0.0,3.416541757109122,3.416541757109122,0.0
1883.5,3.4903248382851095,3.4903248382851095,0.0,298.16412199983375,298.16412199983375,0.0,3.4355409543300097,3.4355409543300097,0.0
1884.5,3.5134105026627056,3.5134105026627056,0.0,298.53137981966574,298.53137981966574,0.0,3.4640259014109467,3.4640259014109467,0.0
1885.5,3.5339326233497075,3.5339326233497075,0.0,298.901908080615,298.901908080615,0.0,3.4821805433492425,3.4821805433492425,0.0
1886.5,3.553409977371073,3.553409977371073,0.0,299.27183695988435,299.27183695988435,0.0,3.528344322137953,3.528344322137953,0.0
1887.5,3.5707487989638587,3.5707487989638587,0.0,299.64429740713155,299.64429740713155,0.0,3.6298680397849754,3.6298680397849754,0.0
1888.5,3.5840541827596173,3.5840541827596173,0.0,300.0255603592794,300.0255603592794,0.0,3.6294328676028913,3.6294328676028913,0.0
1889.5,3.5973351384580194,3.5973351384580194,0.0,300.4021801753462,300.4021801753462,0.0,3.712263325023644,3.712263325023644,0.0
1890.5,3.610819846800406,3.610819846800406,0.0,300.78387994895746,300.78387994895746,0.0,3.755563908287637,3.755563908287637,0.0
1891.5,3.6260927903524713,3.6260927903524713,0.0,301.1656600710912,301.1656600710912,0.0,3.817903822667819,3.817903822667819,0.0
1892.5,3.6433928383121468,3.6433928383121468,0.0,301.5582737422152,301.5582737422152,0.0,3.802169065345335,3.802169065345335,0.0
